,timestamp,num_gpu,gpu_milli
0,600,1.0,1000.0
1,1200,1.0,1000.0
2,1800,1.0,1000.0
3,2400,1.0,1000.0
4,3000,1.0,1000.0
5,3600,1.0,1000.0
6,4200,1.0,1000.0
7,4800,1.0,1000.0
8,5400,1.0,1000.0
9,6000,1.0,1000.0
10,6600,1.0,1000.0
11,7200,1.0,1000.0
12,7800,1.0,1000.0
13,8400,1.0,1000.0
14,9000,1.0,1000.0
15,9600,1.0,1000.0
16,10200,1.0,1000.0
17,10800,1.0,1000.0
18,11400,1.0,1000.0
19,12000,1.0,1000.0
20,12600,1.0,1000.0
21,13200,1.0,1000.0
22,13800,1.0,1000.0
23,14400,1.0,1000.0
24,15000,1.0,1000.0
25,15600,1.0,1000.0
26,16200,1.0,1000.0
27,16800,1.0,1000.0
28,17400,1.0,1000.0
29,18000,1.0,1000.0
30,18600,1.0,1000.0
31,19200,1.0,1000.0
32,19800,1.0,1000.0
33,20400,1.0,1000.0
34,21000,1.0,1000.0
35,21600,1.0,1000.0
36,22200,1.0,1000.0
37,22800,1.0,1000.0
38,23400,1.0,1000.0
39,24000,1.0,1000.0
40,24600,1.0,1000.0
41,25200,1.0,1000.0
42,25800,1.0,1000.0
43,26400,1.0,1000.0
44,27000,1.0,1000.0
45,27600,1.0,1000.0
46,28200,1.0,1000.0
47,28800,1.0,1000.0
48,29400,1.0,1000.0
49,30000,1.0,1000.0
50,30600,1.0,1000.0
51,31200,1.0,1000.0
52,31800,1.0,1000.0
53,32400,1.0,1000.0
54,33000,1.0,1000.0
55,33600,1.0,1000.0
56,34200,1.0,1000.0
57,34800,1.0,1000.0
58,35400,1.0,1000.0
59,36000,1.0,1000.0
60,36600,1.0,1000.0
61,37200,1.0,1000.0
62,37800,1.0,1000.0
63,38400,1.0,1000.0
64,39000,1.0,1000.0
65,39600,1.0,1000.0
66,40200,1.0,1000.0
67,40800,1.0,1000.0
68,41400,1.0,1000.0
69,42000,1.0,1000.0
70,42600,1.0,1000.0
71,43200,1.0,1000.0
72,43800,1.0,1000.0
73,44400,1.0,1000.0
74,45000,1.0,1000.0
75,45600,1.0,1000.0
76,46200,1.0,1000.0
77,46800,1.0,1000.0
78,47400,1.0,1000.0
79,48000,1.0,1000.0
80,48600,1.0,1000.0
81,49200,1.0,1000.0
82,49800,1.0,1000.0
83,50400,1.0,1000.0
84,51000,1.0,1000.0
85,51600,1.0,1000.0
86,52200,1.0,1000.0
87,52800,1.0,1000.0
88,53400,1.0,1000.0
89,54000,1.0,1000.0
90,54600,1.0,1000.0
91,55200,1.0,1000.0
92,55800,1.0,1000.0
93,56400,1.0,1000.0
94,57000,1.0,1000.0
95,57600,1.0,1000.0
96,58200,1.0,1000.0
97,58800,1.0,1000.0
98,59400,1.0,1000.0
99,60000,1.0,1000.0
100,60600,1.0,1000.0
101,61200,1.0,1000.0
102,61800,1.0,1000.0
103,62400,1.0,1000.0
104,63000,1.0,1000.0
105,63600,1.0,1000.0
106,64200,1.0,1000.0
107,64800,1.0,1000.0
108,65400,1.0,1000.0
109,66000,1.0,1000.0
110,66600,1.0,1000.0
111,67200,1.0,1000.0
112,67800,1.0,1000.0
113,68400,1.0,1000.0
114,69000,1.0,1000.0
115,69600,1.0,1000.0
116,70200,1.0,1000.0
117,70800,1.0,1000.0
118,71400,1.0,1000.0
119,72000,1.0,1000.0
120,72600,1.0,1000.0
121,73200,1.0,1000.0
122,73800,1.0,1000.0
123,74400,1.0,1000.0
124,75000,1.0,1000.0
125,75600,1.0,1000.0
126,76200,1.0,1000.0
127,76800,1.0,1000.0
128,77400,1.0,1000.0
129,78000,1.0,1000.0
130,78600,1.0,1000.0
131,79200,1.0,1000.0
132,79800,1.0,1000.0
133,80400,1.0,1000.0
134,81000,1.0,1000.0
135,81600,1.0,1000.0
136,82200,1.0,1000.0
137,82800,1.0,1000.0
138,83400,1.0,1000.0
139,84000,1.0,1000.0
140,84600,1.0,1000.0
141,85200,1.0,1000.0
142,85800,1.0,1000.0
143,86400,1.0,1000.0
144,87000,1.0,1000.0
145,87600,1.0,1000.0
146,88200,1.0,1000.0
147,88800,1.0,1000.0
148,89400,1.0,1000.0
149,90000,1.0,1000.0
150,90600,1.0,1000.0
151,91200,1.0,1000.0
152,91800,1.0,1000.0
153,92400,1.0,1000.0
154,93000,1.0,1000.0
155,93600,1.0,1000.0
156,94200,1.0,1000.0
157,94800,1.0,1000.0
158,95400,1.0,1000.0
159,96000,1.0,1000.0
160,96600,1.0,1000.0
161,97200,1.0,1000.0
162,97800,1.0,1000.0
163,98400,1.0,1000.0
164,99000,1.0,1000.0
165,99600,1.0,1000.0
166,100200,1.0,1000.0
167,100800,1.0,1000.0
168,101400,1.0,1000.0
169,102000,1.0,1000.0
170,102600,1.0,1000.0
171,103200,1.0,1000.0
172,103800,1.0,1000.0
173,104400,1.0,1000.0
174,105000,1.0,1000.0
175,105600,1.0,1000.0
176,106200,1.0,1000.0
177,106800,1.0,1000.0
178,107400,1.0,1000.0
179,108000,1.0,1000.0
180,108600,1.0,1000.0
181,109200,1.0,1000.0
182,109800,1.0,1000.0
183,110400,1.0,1000.0
184,111000,1.0,1000.0
185,111600,1.0,1000.0
186,112200,1.0,1000.0
187,112800,1.0,1000.0
188,113400,1.0,1000.0
189,114000,1.0,1000.0
190,114600,1.0,1000.0
191,115200,1.0,1000.0
192,115800,1.0,1000.0
193,116400,1.0,1000.0
194,117000,1.0,1000.0
195,117600,1.0,1000.0
196,118200,1.0,1000.0
197,118800,1.0,1000.0
198,119400,1.0,1000.0
199,120000,1.0,1000.0
200,120600,1.0,1000.0
201,121200,1.0,1000.0
202,121800,1.0,1000.0
203,122400,1.0,1000.0
204,123000,1.0,1000.0
205,123600,1.0,1000.0
206,124200,1.0,1000.0
207,124800,1.0,1000.0
208,125400,1.0,1000.0
209,126000,1.0,1000.0
210,126600,1.0,1000.0
211,127200,1.0,1000.0
212,127800,1.0,1000.0
213,128400,1.0,1000.0
214,129000,1.0,1000.0
215,129600,1.0,1000.0
216,130200,1.0,1000.0
217,130800,1.0,1000.0
218,131400,1.0,1000.0
219,132000,1.0,1000.0
220,132600,1.0,1000.0
221,133200,1.0,1000.0
222,133800,1.0,1000.0
223,134400,1.0,1000.0
224,135000,1.0,1000.0
225,135600,1.0,1000.0
226,136200,1.0,1000.0
227,136800,1.0,1000.0
228,137400,1.0,1000.0
229,138000,1.0,1000.0
230,138600,1.0,1000.0
231,139200,1.0,1000.0
232,139800,1.0,1000.0
233,140400,1.0,1000.0
234,141000,1.0,1000.0
235,141600,1.0,1000.0
236,142200,1.0,1000.0
237,142800,1.0,1000.0
238,143400,1.0,1000.0
239,144000,1.0,1000.0
240,144600,1.0,1000.0
241,145200,1.0,1000.0
242,145800,1.0,1000.0
243,146400,1.0,1000.0
244,147000,1.0,1000.0
245,147600,1.0,1000.0
246,148200,1.0,1000.0
247,148800,1.0,1000.0
248,149400,1.0,1000.0
249,150000,1.0,1000.0
250,150600,1.0,1000.0
251,151200,1.0,1000.0
252,151800,1.0,1000.0
253,152400,1.0,1000.0
254,153000,1.0,1000.0
255,153600,1.0,1000.0
256,154200,1.0,1000.0
257,154800,1.0,1000.0
258,155400,1.0,1000.0
259,156000,1.0,1000.0
260,156600,1.0,1000.0
261,157200,1.0,1000.0
262,157800,1.0,1000.0
263,158400,1.0,1000.0
264,159000,1.0,1000.0
265,159600,1.0,1000.0
266,160200,1.0,1000.0
267,160800,1.0,1000.0
268,161400,1.0,1000.0
269,162000,1.0,1000.0
270,162600,1.0,1000.0
271,163200,1.0,1000.0
272,163800,1.0,1000.0
273,164400,1.0,1000.0
274,165000,1.0,1000.0
275,165600,1.0,1000.0
276,166200,1.0,1000.0
277,166800,1.0,1000.0
278,167400,1.0,1000.0
279,168000,1.0,1000.0
280,168600,1.0,1000.0
281,169200,1.0,1000.0
282,169800,1.0,1000.0
283,170400,1.0,1000.0
284,171000,1.0,1000.0
285,171600,1.0,1000.0
286,172200,1.0,1000.0
287,172800,1.0,1000.0
288,173400,1.0,1000.0
